File Number,Date Reported,Year Reported,Month Reported,Housing Block,Street Name,Date Notice Mailed or Given,Type of Complaint,Disposition,File Close Date,Method Submitted,Submitted Online?,Total Fees,Mapped Location
903007,03/02/2009,2009,3,1500 BLOCK,S Curtiss Dr,03/03/2009,Weeds/Grass,Owner Abated,03/11/2009,Not Available,false,0,"1500 S Curtiss Dr
Urbana, IL
(40.1009, -88.18461)"
19-000908,05/15/2019,2019,5,2000 Block,East Easy Street,,Weeds/Grass,Voluntarily Complied,05/28/2019,Phone,false,0,"2000 East Easy Street
Urbana, IL
(40.10497, -88.1819)"
19-001664,08/07/2019,2019,8,1000 Block,South Busey Avenue,08/07/2019,Municipal Waste,Voluntarily Complied,08/15/2019,Phone,false,0,"1000 South Busey Avenue
Urbana, IL
(40.10452, -88.21763)"
22-002232,07/11/2022,2022,7,400 Block,South Webber Street,07/11/2022,Weeds/Grass,Voluntarily Complied,07/26/2022,Phone,false,0,"400 South Webber Street
Urbana, IL
(40.10991, -88.19911)"
511022,11/16/2005,2005,11,2000 BLOCK,E Michigan Av,,Municipal Waste,Invalid,,Not Available,false,0,"2000 E Michigan Av
Urbana, IL
(40.10177, -88.18202)"
24-002598,08/20/2024,2024,8,700 Block,South Grove Street,,Zoning,Voluntarily Complied,08/28/2024,Phone,false,0,"700 South Grove Street
Urbana, IL
(40.10756, -88.2013)"
306001,06/02/2003,2003,6,700 BLOCK,W High St,,Municipal Waste,Owner Abated,,Not Available,false,0,"700 W High St
Urbana, IL
(40.10983, -88.21617)"
1205107,05/29/2012,2012,5,100 BLOCK,N Walnut,05/30/2012,Weeds/Grass,City Abated,06/07/2012,Not Available,false,0,"100 N Walnut
Urbana, IL
(40.11262, -88.20631)"
23-000522,03/08/2023,2023,3,2100 Block,South Burlison Drive,03/08/2023,Municipal Waste,Voluntarily Complied,03/21/2023,Phone,false,0,"2100 South Burlison Drive
Urbana, IL
(40.09084, -88.20544)"
1005001,05/03/2010,2010,5,1000 BLOCK,N Berkley Av,05/04/2010,Weeds/Grass,City Abated,05/12/2010,Not Available,false,0,"1000 N Berkley Av
Urbana, IL
(40.12208, -88.20645)"
406076,06/30/2004,2004,6,400 BLOCK,S Johnson,,Municipal Waste,Owner Abated,,Not Available,false,0,"400 S Johnson
Urbana, IL
(40.10962, -88.19683)"
1208047,08/16/2012,2012,8,700 BLOCK,E Windsor Rd,08/17/2012,Weeds/Grass,Owner Abated,08/25/2012,Not Available,false,0,"700 E Windsor Rd
Urbana, IL
(40.08378, -88.20163)"
409008,09/01/2004,2004,9,1200 BLOCK,N Berkley Ave,,Weeds/Grass,Owner Abated,,Not Available,false,0,"1200 N Berkley Ave
Urbana, IL
(40.12389, -88.20648)"
1005090,05/19/2010,2010,5,700 BLOCK,E Main St,05/20/2010,Weeds/Grass,Owner Abated,05/28/2010,Not Available,false,0,"700 E Main St
Urbana, IL
(40.11289, -88.20131)"
19-001442,07/15/2019,2019,7,1800 Block,South Larch Place,07/15/2019,Weeds/Grass,Unfounded,07/15/2019,Phone,false,0,"1800 South Larch Place
Urbana, IL
(40.09665, -88.19709)"
1505085,05/19/2015,2015,5,900 BLOCK,E Florida Av,05/19/2015,Weeds/Grass,Owner Abated,05/27/2015,Not Available,false,0,"900 E Florida Av
Urbana, IL
(40.09837, -88.19769)"
1109050,09/19/2011,2011,9,0 BLOCK,Hill St Ct,09/20/2011,Municipal Waste,Owner Abated,09/28/2011,Not Available,false,0,
18-000644,06/18/2018,2018,6,800 Block,Main,06/18/2018,Weeds/Grass,Voluntarily Complied,06/26/2018,Phone,false,0,"800 Main
Urbana, IL
(40.11434, -88.21759)"
1502009,02/11/2015,2015,2,900 BLOCK,N Gregory St,02/11/2015,Municipal Waste,Owner Abated,02/19/2015,Not Available,false,0,"900 N Gregory St
Urbana, IL
(40.12019, -88.22108)"
1006114,06/22/2010,2010,6,500 BLOCK,W High St,06/23/2010,Municipal Waste,Owner Abated,07/01/2010,Not Available,false,0,"500 W High St
Urbana, IL
(40.10987, -88.21333)"
710006,10/02/2007,2007,10,700 BLOCK,S Race St,10/03/2007,Weeds/Grass,City Abated,10/11/2007,Not Available,false,0,"700 S Race St
Urbana, IL
(40.10747, -88.20883)"
20-001776,09/08/2020,2020,9,300 Block,East California Avenue,09/08/2020,Weeds/Grass,Voluntarily Complied,09/16/2020,Phone,false,0,"300 East California Avenue
Urbana, IL
(40.10847, -88.2047)"
21-002135,09/15/2021,2021,9,400 Block,West Green Street,09/15/2021,Weeds/Grass,Voluntarily Complied,01/04/2022,Phone,false,0,"400 West Green Street
Urbana, IL
(40.11071, -88.21196)"
18-036033,09/24/2018,2018,9,1300 Block,East Florida Avenue,09/24/2018,Municipal Waste,Voluntarily Complied,10/02/2018,Phone,false,0,"1300 East Florida Avenue
Urbana, IL
(40.09838, -88.19332)"
1703007,03/20/2017,2017,3,1200 BLOCK,N Busey Av,03/20/2017,Municipal Waste,Owner Abated,03/28/2017,Not Available,false,0,"1200 N Busey Av
Urbana, IL
(40.12345, -88.217)"
21-001323,06/15/2021,2021,6,1100 Block,East Mitchem Drive,06/15/2021,Weeds/Grass,City Abated,09/28/2021,Phone,false,255.5,"1100 East Mitchem Drive
Urbana, IL
(40.09237, -88.19541)"
24-002345,07/30/2024,2024,7,2400 Block,"South ""Saint Andrews"" Road",07/30/2024,Weeds/Grass,City Abated,09/24/2024,Phone,false,330,"2400 South Saint Andrews Road
Urbana, IL
(40.08844, -88.17759)"
1008053,08/17/2010,2010,8,700 BLOCK,E Michigan St,08/18/2010,Municipal Waste,Owner Abated,08/26/2010,Not Available,false,0,"700 E Michigan St
Urbana, IL
(40.10161, -88.19992)"
902010,02/04/2009,2009,2,600 BLOCK,W Iowa St,02/05/2009,Weeds/Grass,City Abated,02/13/2009,Not Available,false,0,"600 W Iowa St
Urbana, IL
(40.10468, -88.21458)"
1506037,06/15/2015,2015,6,600 BLOCK,S Glover Av,06/15/2015,Weeds/Grass,Owner Abated,06/23/2015,Not Available,false,0,"600 S Glover Av
Urbana, IL
(40.10804, -88.19331)"
1003001,03/01/2010,2010,3,1000 BLOCK,N Division Av,03/02/2010,Municipal Waste,Owner Abated,03/10/2010,Not Available,false,0,"1000 N Division Av
Urbana, IL
(40.12212, -88.2053)"
19-000812,05/08/2019,2019,5,900 Block,East Main Street,05/08/2019,Weeds/Grass,Voluntarily Complied,05/16/2019,Phone,false,0,"900 East Main Street
Urbana, IL
(40.11298, -88.19766)"
22-001226,05/16/2022,2022,5,1100 Block,East Mumford Drive,05/16/2022,Weeds/Grass,Voluntarily Complied,05/24/2022,Phone,false,0,"1100 East Mumford Drive
Urbana, IL
(40.09068, -88.19545)"
412023,12/20/2004,2004,12,2000 BLOCK,E Vermont St,,Municipal Waste,Owner Abated,,Not Available,false,0,"2000 E Vermont St
Urbana, IL
(40.10099, -88.18287)"
609034,09/18/2006,2006,9,200 BLOCK,S Hartle Av,,Municipal Waste,Owner Abated,,Not Available,false,0,"200 S Hartle Av
Urbana, IL
(40.11115, -88.19218)"
22-001612,06/02/2022,2022,6,1400 Block,West Hill Street,06/02/2022,Weeds/Grass,Voluntarily Complied,06/10/2022,Phone,false,0,"1400 West Hill Street
Urbana, IL
(40.11932, -88.22733)"
307029,07/15/2003,2003,7,1000 BLOCK,N Lincoln Av,,Weeds/Grass,City Abated,,Not Available,false,0,"1000 N Lincoln Av
Urbana, IL
(40.12144, -88.21945)"
1408075,08/20/2014,2014,8,1200 BLOCK,W Dublin St,08/20/2014,Weeds/Grass,Owner Abated,08/28/2014,Not Available,false,0,"1200 W Dublin St
Urbana, IL
(40.12126, -88.22432)"
1709034,09/21/2017,2017,9,1400 BLOCK,Wiley St,09/21/2017,Weeds/Grass,City Abated,09/21/2017,Not Available,false,0,"1400 Wiley St
Urbana, IL
(40.10057, -88.19777)"
1506064,06/22/2015,2015,6,800 BLOCK,S Grove St,06/22/2015,Weeds/Grass,Owner Abated,06/30/2015,Not Available,false,0,"800 S Grove St
Urbana, IL
(40.10593, -88.20127)"
1004024,04/27/2010,2010,4,1900 BLOCK,E Easy St,04/28/2010,Weeds/Grass,Owner Abated,05/06/2010,Not Available,false,0,"1900 E Easy St
Urbana, IL
(40.10497, -88.18454)"
22-003440,11/04/2022,2022,11,300 Block,West Elm Street,11/04/2022,Municipal Waste,Voluntarily Complied,11/14/2022,Phone,false,0,"300 West Elm Street
Urbana, IL
(40.11157, -88.21036)"
912003,12/10/2009,2009,12,1200 BLOCK,W Hill St,12/11/2009,Municipal Waste,Owner Abated,12/19/2009,Not Available,false,0,"1200 W Hill St
Urbana, IL
(40.11934, -88.22425)"
302050,02/28/2003,2003,2,1800 BLOCK,E Florida Av,,Municipal Waste,Owner Abated,,Not Available,false,0,"1800 E Florida Av
Urbana, IL
(40.09876, -88.18384)"
708081,08/24/2007,2007,8,800 BLOCK,W Ohio St,08/24/2007,Weeds/Grass,Owner Abated,09/01/2007,Not Available,false,0,"800 W Ohio St
Urbana, IL
(40.10371, -88.2178)"
305003,05/02/2003,2003,5,200 BLOCK,S Urbana Av,,Weeds/Grass,Owner Abated,,Not Available,false,0,"200 S Urbana Av
Urbana, IL
(40.11159, -88.20373)"
19-001115,06/06/2019,2019,6,100 Block,North Webber Street,06/06/2019,Weeds/Grass,City Abated,06/24/2019,Phone,false,266,"100 North Webber Street
Urbana, IL
(40.11312, -88.19921)"
412002,12/01/2004,2004,12,1200 BLOCK,E Michigan,,Municipal Waste,Owner Abated,,Not Available,false,0,"1200 E Michigan
Urbana, IL
(40.10146, -88.19324)"
19-001499,07/19/2019,2019,7,200 Block,North Busey Avenue,07/19/2019,Weeds/Grass,Voluntarily Complied,07/29/2019,Phone,false,0,"200 North Busey Avenue
Urbana, IL
(40.11352, -88.21767)"
609012,09/11/2006,2006,9,500 BLOCK,W California Av,,Weeds/Grass,Owner Abated,,Not Available,false,0,"500 W California Av
Urbana, IL
(40.10835, -88.21332)"
608005,08/02/2006,2006,8,1200 BLOCK,S Vine St,,Municipal Waste,Owner Abated,,Not Available,false,0,"1200 S Vine St
Urbana, IL
(40.10278, -88.20498)"
605028,05/03/2006,2006,5,1700 BLOCK,E Hunter St,,Municipal Waste,Owner Abated,,Not Available,false,0,"1700 E Hunter St
Urbana, IL
(40.10383, -88.18641)"
18-000794,07/24/2018,2018,7,1400 Block,W Beslin Street,07/24/2018,Weeds/Grass,City Abated,10/31/2018,Phone,false,613.5,"1400 W Beslin Street
Urbana, IL
(40.12028, -88.22731)"
24-002027,07/02/2024,2024,7,200 Block,East Main Street,07/02/2024,Weeds/Grass,Voluntarily Complied,07/10/2024,Phone,false,0,"200 East Main Street
Urbana, IL
(40.11248, -88.20613)"
22-002833,08/31/2022,2022,8,800 Block,West Oregon Street,08/31/2022,Weeds/Grass,Voluntarily Complied,09/08/2022,Phone,false,0,"800 West Oregon Street
Urbana, IL
(40.10743, -88.21786)"
803004,03/17/2008,2008,3,100 BLOCK,S Poplar St,03/18/2008,Municipal Waste,Owner Abated,03/26/2008,Not Available,false,0,"100 S Poplar St
Urbana, IL
(40.11283, -88.19451)"
905087,05/22/2009,2009,5,900 BLOCK,S Maple St,05/22/2009,Weeds/Grass,Owner Abated,05/30/2009,Not Available,false,0,"900 S Maple St
Urbana, IL
(40.10552, -88.20243)"
1304014,04/19/2013,2013,4,900 BLOCK,E Water St,04/19/2013,Municipal Waste,Owner Abated,04/30/2013,Not Available,false,0,"900 E Water St
Urbana, IL
(40.11394, -88.19614)"
607041,07/24/2006,2006,7,100 BLOCK,E Oregon St,,Municipal Waste,Owner Abated,,Not Available,false,0,"100 E Oregon St
Urbana, IL
(40.10763, -88.20713)"
18-000630,06/12/2018,2018,6,700 Block,E California Avenue,06/12/2018,Weeds/Grass,City Abated,10/31/2018,City Staff Reported,false,613.5,"700 E California Avenue
Urbana, IL
(40.10854, -88.20006)"
24-001407,05/15/2024,2024,5,100 Block,West McHenry Street,05/15/2024,Weeds/Grass,City Abated,07/17/2024,Phone,false,549,"100 West McHenry Street
Urbana, IL
(40.08696, -88.20729)"
22-000628,03/25/2022,2022,3,1200 Block,North Division Avenue,03/25/2022,Municipal Waste,Voluntarily Complied,04/04/2022,Phone,false,0,"1200 North Division Avenue
Urbana, IL
(40.12393, -88.20533)"
22-002725,08/24/2022,2022,8,1000 Block,North Berkley Avenue,08/24/2022,Weeds/Grass,Voluntarily Complied,09/01/2022,Phone,false,0,"1000 North Berkley Avenue
Urbana, IL
(40.12208, -88.20645)"
18-000513,05/16/2018,2018,5,1900 Block,E Summit Drive,05/16/2018,Weeds/Grass,Voluntarily Complied,05/24/2018,City Staff Reported,false,0,"1900 E Summit Drive
Urbana, IL
(40.08326, -88.18296)"
23-000968,04/24/2023,2023,4,1300 Block,East Florida Avenue,04/24/2023,Weeds/Grass,City Abated,07/10/2023,Phone,false,177.5,"1300 East Florida Avenue
Urbana, IL
(40.09838, -88.19332)"
303022,03/11/2003,2003,3,1000 BLOCK,S Lincoln Av,,Municipal Waste,Owner Abated,,Not Available,false,0,"1000 S Lincoln Av
Urbana, IL
(40.1045, -88.21922)"
24-003129,10/06/2024,2024,10,1400 Block,South Ogelthorpe Avenue,10/14/2024,,,,Internet,true,0,"1400 South Ogelthorpe Avenue
Urbana, IL
(40.10171, -88.17493)"
20-002106,10/15/2020,2020,10,700 Block,East University Avenue,10/15/2020,Municipal Waste,Voluntarily Complied,10/23/2020,Phone,false,0,"700 East University Avenue
Urbana, IL
(40.11632, -88.20039)"
24-001898,06/24/2024,2024,6,1300 Block,East Silver Street,06/24/2024,Municipal Waste,City Abated,09/24/2024,Phone,false,2030,"1300 East Silver Street
Urbana, IL
(40.09149, -88.19285)"
1609014,09/08/2016,2016,9,1900 BLOCK,E Michigan Av,09/08/2016,Weeds/Grass,,09/16/2016,Not Available,false,0,"1900 E Michigan Av
Urbana, IL
(40.10173, -88.18449)"
1009057,09/30/2010,2010,9,500 BLOCK,W California Av,10/01/2010,Weeds/Grass,Owner Abated,10/09/2010,Not Available,false,0,"500 W California Av
Urbana, IL
(40.10835, -88.21332)"
23-001234,05/11/2023,2023,5,200 Block,West Florida Avenue,05/11/2023,Weeds/Grass,City Abated,08/30/2023,Phone,false,177.5,"200 West Florida Avenue
Urbana, IL
(40.0983, -88.20977)"
22-002072,06/23/2022,2022,6,200 Block,West High Street,06/23/2022,Weeds/Grass,Voluntarily Complied,07/05/2022,Phone,false,0,"200 West High Street
Urbana, IL
(40.10993, -88.20907)"
20-001031,06/11/2020,2020,6,400 Block,West University Avenue,06/11/2020,Weeds/Grass,Voluntarily Complied,06/19/2020,Phone,false,0,"400 West University Avenue
Urbana, IL
(40.1165, -88.21086)"
807032,07/23/2008,2008,7,900 BLOCK,N Division Av,07/24/2008,Weeds/Grass,Owner Abated,08/01/2008,Not Available,false,0,"900 N Division Av
Urbana, IL
(40.12134, -88.20525)"
18-000616,06/07/2018,2018,6,1000 Block,S Austin Drive,06/07/2018,Weeds/Grass,Voluntarily Complied,06/15/2018,Phone,false,0,"1000 S Austin Drive
Urbana, IL
(40.10475, -88.18756)"
707010,07/09/2007,2007,7,1400 BLOCK,S Smith Rd,07/10/2007,Weeds/Grass,City Abated,07/18/2007,Not Available,false,0,"1400 S Smith Rd
Urbana, IL
(40.1017, -88.17604)"
304015,04/22/2003,2003,4,400 BLOCK,N Race St,,Weeds/Grass,Owner Abated,,Not Available,false,0,"400 N Race St
Urbana, IL
(40.11497, -88.20898)"
1608074,08/30/2016,2016,8,800 BLOCK,E Florida Av,08/30/2016,Weeds/Grass,Owner Abated,09/07/2016,Not Available,false,0,"800 E Florida Av
Urbana, IL
(40.09836, -88.1987)"
1006011,06/02/2010,2010,6,2000 BLOCK,E Vermont St,06/02/2010,Weeds/Grass,City Abated,06/10/2010,Not Available,false,0,"2000 E Vermont St
Urbana, IL
(40.10099, -88.18287)"
18-000525,05/16/2018,2018,5,800 Block,W Nevada Street,05/16/2018,Weeds/Grass,Voluntarily Complied,05/24/2018,City Staff Reported,false,0,"800 W Nevada Street
Urbana, IL
(40.1065, -88.21784)"
1706003,06/02/2017,2017,6,1500 BLOCK,S Ogelthorpe Av,06/02/2017,Weeds/Grass,Owner Abated,06/10/2017,Not Available,false,0,"1500 S Ogelthorpe Av
Urbana, IL
(40.09996, -88.1749)"
18-000485,05/14/2018,2018,5,900 Block,E Florida Avenue,05/14/2018,Weeds/Grass,Voluntarily Complied,05/22/2018,City Staff Reported,false,0,"900 E Florida Avenue
Urbana, IL
(40.09837, -88.19769)"
1206028,06/12/2012,2012,6,700 BLOCK,S Busey Av,06/13/2012,Municipal Waste,Owner Abated,06/21/2012,Not Available,false,0,"700 S Busey Av
Urbana, IL
(40.10729, -88.21768)"
1610012,10/31/2016,2016,10,700 BLOCK,E Hawthorne Dr,10/31/2016,Weeds/Grass,Owner Abated,11/08/2016,Not Available,false,0,"700 E Hawthorne Dr
Urbana, IL
(40.1024, -88.19994)"
504029,04/20/2005,2005,4,900 BLOCK,E Fairlawn Dr,,Municipal Waste,Owner Abated,,Not Available,false,0,"900 E Fairlawn Dr
Urbana, IL
(40.10296, -88.19814)"
19-001813,08/26/2019,2019,8,600 Block,West Elm Street,08/26/2019,Municipal Waste,Voluntarily Complied,09/03/2019,Phone,false,0,"600 West Elm Street
Urbana, IL
(40.11148, -88.21491)"
19-001953,09/11/2019,2019,9,600 Block,West Illinois Street,09/11/2019,Weeds/Grass,Voluntarily Complied,09/19/2019,Phone,false,0,"600 West Illinois Street
Urbana, IL
(40.10915, -88.21469)"
308082,08/26/2003,2003,8,1400 BLOCK,E Michigan,,Municipal Waste,Owner Abated,,Not Available,false,0,"1400 E Michigan
Urbana, IL
(40.10166, -88.19104)"
24-003009,09/24/2024,2024,9,1300 Block,East Silver Street,09/24/2024,Municipal Waste,City Abated,11/18/2024,Phone,false,1530,"1300 East Silver Street
Urbana, IL
(40.09149, -88.19285)"
1011021,11/17/2010,2010,11,2200 BLOCK,S Philo Rd,11/18/2010,Municipal Waste,Owner Abated,11/26/2010,Not Available,false,0,"2200 S Philo Rd
Urbana, IL
(40.08835, -88.19063)"
18-000600,06/01/2018,2018,6,400 Block,E Washington Street,06/01/2018,Weeds/Grass,Voluntarily Complied,06/11/2018,Phone,false,0,"400 E Washington Street
Urbana, IL
(40.10564, -88.20342)"
1103023,03/28/2011,2011,3,100 BLOCK,E George Huff Dr,03/28/2011,Municipal Waste,Owner Abated,04/05/2011,Not Available,false,0,"100 E George Huff Dr
Urbana, IL
(40.09094, -88.20686)"
1511013,11/24/2015,2015,11,1200 BLOCK,N Busey Av,11/24/2015,Municipal Waste,Owner Abated,12/02/2015,Not Available,false,0,"1200 N Busey Av
Urbana, IL
(40.12345, -88.217)"
22-002542,08/09/2022,2022,8,700 Block,West Nevada Street,08/09/2022,Municipal Waste,Voluntarily Complied,08/17/2022,Email,false,0,"700 West Nevada Street
Urbana, IL
(40.10652, -88.21617)"
1108052,08/23/2011,2011,8,2000 BLOCK,E Weaver St,08/23/2011,Weeds/Grass,Owner Abated,08/31/2011,Not Available,false,0,"2000 E Weaver St
Urbana, IL
(40.10381, -88.1827)"
910001,10/07/2009,2009,10,1600 BLOCK,Ivanhoe Way,10/08/2009,Weeds/Grass,Owner Abated,10/21/2009,Not Available,false,0,"1600 Ivanhoe Way
Urbana, IL
(40.10221, -88.18862)"
1410007,10/08/2014,2014,10,100 BLOCK,N Lynn St,10/08/2014,Weeds/Grass,Owner Abated,10/16/2014,Not Available,false,0,"100 N Lynn St
Urbana, IL
(40.11312, -88.19784)"
22-002806,08/30/2022,2022,8,700 Block,West Washington Street,08/30/2022,Municipal Waste,Voluntarily Complied,09/07/2022,Phone,false,0,"700 West Washington Street
Urbana, IL
(40.10555, -88.21617)"
1305101,05/15/2013,2013,5,200 BLOCK,Crystal Lake Dr,05/15/2013,Weeds/Grass,Owner Abated,05/23/2013,Not Available,false,0,"200 Crystal Lake Dr
Urbana, IL
(40.11888, -88.20569)"
21-000991,05/13/2021,2021,5,200 Block,South Poplar Street,,,Referred to other department,05/14/2021,Internet,true,0,"200 South Poplar Street
Urbana, IL
(40.11128, -88.19449)"
1707037,07/06/2017,2017,7,900 BLOCK,N Linview Av,07/06/2017,Weeds/Grass,City Abated,07/06/2017,Not Available,false,0,"900 N Linview Av
Urbana, IL
(40.12022, -88.21814)"
705035,05/07/2007,2007,5,900 BLOCK,E Michigan Av,05/08/2007,Weeds/Grass,Owner Abated,05/16/2007,Not Available,false,0,"900 E Michigan Av
Urbana, IL
(40.10162, -88.19724)"
20-000915,05/28/2020,2020,5,700 Block,South Wabash Avenue,,,City Abated,05/29/2020,Internet,true,0,"700 South Wabash Avenue
Urbana, IL
(40.10759, -88.19665)"
409045,09/15/2004,2004,9,1100 BLOCK,S Austin Dr,,Weeds/Grass,Owner Abated,,Not Available,false,0,"1100 S Austin Dr
Urbana, IL
(40.10368, -88.18752)"
607043,07/25/2006,2006,7,500 BLOCK,S Anderson St,,Weeds/Grass,City Abated,,Not Available,false,0,"500 S Anderson St
Urbana, IL
(40.10922, -88.20025)"
1609009,09/07/2016,2016,9,1200 BLOCK,E Windsor Rd,09/07/2016,Weeds/Grass,,09/15/2016,Not Available,false,0,"1200 E Windsor Rd
Urbana, IL
(40.08381, -88.19171)"
1008014,08/05/2010,2010,8,1300 BLOCK,S Cottage Grove Av,08/06/2010,Weeds/Grass,City Abated,08/14/2010,Not Available,false,0,"1300 S Cottage Grove Av
Urbana, IL
(40.1018, -88.19557)"
18-000736,07/09/2018,2018,7,300 Block,E Washington Street,07/09/2018,Weeds/Grass,Voluntarily Complied,07/17/2018,Phone,false,0,"300 E Washington Street
Urbana, IL
(40.10563, -88.20479)"
18-000459,05/10/2018,2018,5,1400 Block,S Wiley Drive,05/10/2018,Weeds/Grass,City Abated,10/31/2018,City Staff Reported,false,224,"1400 S Wiley Drive
Urbana, IL
(40.10057, -88.19777)"
21-002970,12/29/2021,2021,12,2300 Block,"East ""Lantern Hill"" Drive",12/29/2021,Municipal Waste,Voluntarily Complied,01/18/2022,Phone,false,0,"2300 East Lantern Hill Drive
Urbana, IL
(40.10477, -88.17795)"
508026,08/08/2005,2005,8,700 BLOCK,W Stoughton St,,Municipal Waste,City Abated,,Not Available,false,0,"700 W Stoughton St
Urbana, IL
(40.11318, -88.21617)"
1112003,12/02/2011,2011,12,1500 BLOCK,S Wiley Dr,12/02/2011,Weeds/Grass,Owner Abated,12/10/2011,Not Available,false,0,"1500 S Wiley Dr
Urbana, IL
(40.09938, -88.19788)"
1006150,06/29/2010,2010,6,1200 BLOCK,E Silver St,06/30/2010,Weeds/Grass,Owner Abated,07/08/2010,Not Available,false,0,"1200 E Silver St
Urbana, IL
(40.09149, -88.1933)"
805043,05/13/2008,2008,5,900 BLOCK,E Water St,05/14/2008,Weeds/Grass,Owner Abated,05/22/2008,Not Available,false,0,"900 E Water St
Urbana, IL
(40.11394, -88.19614)"
19-001005,05/28/2019,2019,5,200 Block,North Busey Avenue,,Weeds/Grass,Voluntarily Complied,06/05/2019,Phone,false,0,"200 North Busey Avenue
Urbana, IL
(40.11352, -88.21767)"
1310008,10/09/2013,2013,10,1000 BLOCK,N Berkley Av,10/09/2013,Municipal Waste,Owner Abated,10/17/2013,Not Available,false,0,"1000 N Berkley Av
Urbana, IL
(40.12208, -88.20645)"
507039,07/21/2005,2005,7,900 BLOCK,N Busey Av,,Weeds/Grass,City Abated,,Not Available,false,0,"900 N Busey Av
Urbana, IL
(40.12022, -88.21695)"
21-002084,09/13/2021,2021,9,1000 Block,North Lincoln Avenue,09/13/2021,Municipal Waste,Voluntarily Complied,09/21/2021,Phone,false,0,"1000 North Lincoln Avenue
Urbana, IL
(40.12144, -88.21945)"
23-002042,07/14/2023,2023,7,1200 Block,North Lincoln Avenue,07/14/2023,Weeds/Grass,Voluntarily Complied,07/24/2023,Phone,false,0,"1200 North Lincoln Avenue
Urbana, IL
(40.12304, -88.21947)"
1208059,08/23/2012,2012,8,400 BLOCK,W Illinois St,08/23/2012,Municipal Waste,Owner Abated,08/31/2012,Not Available,false,0,"400 W Illinois St
Urbana, IL
(40.10918, -88.21191)"
1005075,05/17/2010,2010,5,1000 BLOCK,S Orchard St,05/18/2010,Weeds/Grass,Owner Abated,05/26/2010,Not Available,false,0,"1000 S Orchard St
Urbana, IL
(40.10454, -88.2144)"
1009029,09/20/2010,2010,9,1600 BLOCK,E Hunter St,09/21/2010,Weeds/Grass,Owner Abated,09/29/2010,Not Available,false,0,"1600 E Hunter St
Urbana, IL
(40.10379, -88.18849)"
807061,07/31/2008,2008,7,700 BLOCK,N Busey Av,08/01/2008,Weeds/Grass,City Abated,08/09/2008,Not Available,false,0,"700 N Busey Av
Urbana, IL
(40.11839, -88.21698)"
1508037,08/18/2015,2015,8,1200 BLOCK,S Lanore Dr,08/18/2015,Weeds/Grass,Owner Abated,08/26/2015,Not Available,false,0,"1200 S Lanore Dr
Urbana, IL
(40.10157, -88.18653)"
506042,06/13/2005,2005,6,1100 BLOCK,Willard St,,Weeds/Grass,Owner Abated,,Not Available,false,0,"1100 Willard St
Urbana, IL
(40.08429, -88.19514)"
1110016,10/10/2011,2011,10,1200 BLOCK,N Coler Av,10/11/2011,Municipal Waste,Owner Abated,10/19/2011,Not Available,false,0,"1200 N Coler Av
Urbana, IL
(40.12291, -88.21577)"
1207042,07/19/2012,2012,7,800 BLOCK,S Lincoln Av,07/20/2012,Weeds/Grass,Owner Abated,07/28/2012,Not Available,false,0,"800 S Lincoln Av
Urbana, IL
(40.10633, -88.21925)"
24-002158,07/15/2024,2024,7,2700 Block,East Castlerock Drive,07/15/2024,Weeds/Grass,City Abated,09/24/2024,Phone,false,499.5,"2700 East Castlerock Drive
Urbana, IL
(40.09178, -88.17155)"
511020,11/15/2005,2005,11,1300 BLOCK,W Beech St,,Weeds/Grass,City Abated,,Not Available,false,0,"1300 W Beech St
Urbana, IL
(40.12217, -88.22593)"
23-001495,05/23/2023,2023,5,1700 Block,East Hillshire Drive,05/23/2023,Weeds/Grass,Voluntarily Complied,05/31/2023,Phone,false,0,"1700 East Hillshire Drive
Urbana, IL
(40.07324, -88.18629)"
18-000810,07/30/2018,2018,7,500 Block,W California Avenue,07/30/2018,Weeds/Grass,Voluntarily Complied,08/07/2018,Email,false,0,"500 W California Avenue
Urbana, IL
(40.10835, -88.21332)"
1110022,10/13/2011,2011,10,1300 BLOCK,E Silver St,10/14/2011,Municipal Waste,Owner Abated,10/22/2011,Not Available,false,0,"1300 E Silver St
Urbana, IL
(40.09149, -88.19285)"
1405005,05/08/2014,2014,5,800 BLOCK,N Coler Av,05/08/2014,Municipal Waste,Owner Abated,05/16/2014,Not Available,false,0,"800 N Coler Av
Urbana, IL
(40.1193, -88.21573)"
1307019,07/15/2013,2013,7,1000 BLOCK,N Berkley Av,07/15/2013,Weeds/Grass,Owner Abated,07/23/2013,Not Available,false,0,"1000 N Berkley Av
Urbana, IL
(40.12208, -88.20645)"
1702013,02/21/2017,2017,2,1300 BLOCK,W Beardsley Av,02/21/2017,Municipal Waste,City Abated,03/01/2017,Not Available,false,0,"1300 W Beardsley Av
Urbana, IL
(40.12631, -88.22643)"
20-000830,05/20/2020,2020,5,1000 Block,North Cunningham Avenue,05/20/2020,Weeds/Grass,Voluntarily Complied,05/28/2020,Phone,false,0,"1000 North Cunningham Avenue
Urbana, IL
(40.12228, -88.20181)"
19-000354,03/12/2019,2019,3,1100 Block,North Highlands Drive,03/12/2019,Weeds/Grass,Voluntarily Complied,03/20/2019,Phone,false,0,"1100 North Highlands Drive
Urbana, IL
(40.12334, -88.20441)"
